Shop_name,Products,Chart_Performance,Rating,Followers,Rating_bad,Rating_good,Rating_normal
AFLAH JAMEELA OUTLET TRADING,31,94,4.927406,46176,34,7987,96
picemice.my”,435,69,4.915611,7971,24,5497,88
Nurfaiza92,12,94,4.955026,17917,12,4232,32
Bebovizi Flagship store,2421,97,4.838646,44144,337,36947,1271
cittadreamz,413,83,4.754018,1570,62,4067,228
LEDORA BOUTIQUE,187,97,4.884621,41372,376,79432,1867
yonglinhf.my,146,78,4.816123,11196,91,10454,447
Webefu 👙 Brand Store,164,96,4.925693,5226,24,8949,130
Mirai Mall,66,100,4.847199,15252,299,35324,1074
myBHAJU,1692,98,4.923235,15671,56,20258,303
JunShang.my,385,98,4.81871,8986,49,4835,224
Scrub Suit & Labcoat AlchemyApparel,78,95,4.876991,2578,45,6082,145
Cuterania.store,17,97,4.987145,7834,1,2089,4
Miradolce bundle,6,91,4.978616,8061,0,2092,8
Murah.com.my,45,94,4.82118,26974,646,43973,1460
may2u,2,81,4.98556,1456,0,373,0
Cik Mirae Shop,13,91,4.978683,2116,0,4408,14
WhitneyShopholic,6,96,4.978918,12540,1,2917,6
amaaani,1,92,4.986667,7570,0,923,3
TopIn  Shop,497,71,4.777587,16883,127,5565,263
Nursing Bra & Maternity & Baby,147,54,4.90062,14107,83,25154,523
bbaodan.my,94,86,4.786364,3000,68,5898,282
iedacollection,65,97,4.978876,7193,0,2725,11
aqilala shop enterprise,82,91,4.899735,13162,180,29435,537
Baju Kurung kedah Online/Baju Opah,162,88,4.890533,5206,58,10079,215
Waorder,602,80,4.809099,41077,1650,95760,3220
LinLin12_shopee,10,74,4.959596,5389,3,955,4
tudungdream,16,96,4.929442,11213,12,2096,19
YAYA SPORTS,198,100,4.892002,3299,12,2463,51
Winners,6049,87,4.775343,107289,6742,400978,17622
unicorn1991,418,94,4.776062,14380,1361,71361,3268
NCares,114,96,4.871281,5108,132,14805,362
iHomeLove,1191,97,4.805176,9543,762,52942,2091
Grimo Bag & Fashion Wholesale 🛍,3420,95,4.902505,764156,7554,1914315,33994
nainnagallery,91,69,4.860465,7305,48,5214,134
casonkai.my,52,98,4.924198,900,3,679,11
myn_.store,8,97,4.991247,4766,0,507,1
